"Schema版本","ID","符号种类","规范名称","别名","语法","类别","值类型","所需上下文","当前实现","兼容状态","已知差异或实施结论","安全等级","来源","附件出现","真实语料次数","翎风说明","测试编号","说明书页面","负责人","最后复核日期","版本","无上下文结果","可用脚本入口","触发时点"
"1","LFENV-SYMBOL-0022","附件原文","BANKACCOUNT2","","<$BANKACCOUNT2>","运营配置","String","公开运营配置","未实现（公开运营配置 Adapter 待 LFENV-08）","D","仅允许读取专门的公开运营配置；缺失时返回空字符串并记录 ConfigMissing。","敏感","用户附件:翎风服务器常量","是","0","银行帐号信息","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","空字符串并记录 ConfigMissing","NPC 对话显示与文本参数","脚本执行期间读取已发布运营配置快照"
"1","LFENV-SYMBOL-0023","附件原文","BANKACCOUNT3","","<$BANKACCOUNT3>","运营配置","String","公开运营配置","未实现（公开运营配置 Adapter 待 LFENV-08）","D","仅允许读取专门的公开运营配置；缺失时返回空字符串并记录 ConfigMissing。","敏感","用户附件:翎风服务器常量","是","0","银行帐号信息","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","空字符串并记录 ConfigMissing","NPC 对话显示与文本参数","脚本执行期间读取已发布运营配置快照"
"1","LFENV-SYMBOL-0024","附件原文","BANKACCOUNT4","","<$BANKACCOUNT4>","运营配置","String","公开运营配置","未实现（公开运营配置 Adapter 待 LFENV-08）","D","仅允许读取专门的公开运营配置；缺失时返回空字符串并记录 ConfigMissing。","敏感","用户附件:翎风服务器常量","是","0","银行帐号信息","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","空字符串并记录 ConfigMissing","NPC 对话显示与文本参数","脚本执行期间读取已发布运营配置快照"
"1","LFENV-SYMBOL-0025","附件原文","BANKACCOUNT5","","<$BANKACCOUNT5>","运营配置","String","公开运营配置","未实现（公开运营配置 Adapter 待 LFENV-08）","D","仅允许读取专门的公开运营配置；缺失时返回空字符串并记录 ConfigMissing。","敏感","用户附件:翎风服务器常量","是","0","银行帐号信息","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","空字符串并记录 ConfigMissing","NPC 对话显示与文本参数","脚本执行期间读取已发布运营配置快照"
"1","LFENV-SYMBOL-0026","附件原文","BANKACCOUNT6","","<$BANKACCOUNT6>","运营配置","String","公开运营配置","未实现（公开运营配置 Adapter 待 LFENV-08）","D","仅允许读取专门的公开运营配置；缺失时返回空字符串并记录 ConfigMissing。","敏感","用户附件:翎风服务器常量","是","0","银行帐号信息","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","空字符串并记录 ConfigMissing","NPC 对话显示与文本参数","脚本执行期间读取已发布运营配置快照"
"1","LFENV-SYMBOL-0027","附件原文","BANKACCOUNT7","","<$BANKACCOUNT7>","运营配置","String","公开运营配置","未实现（公开运营配置 Adapter 待 LFENV-08）","D","仅允许读取专门的公开运营配置；缺失时返回空字符串并记录 ConfigMissing。","敏感","用户附件:翎风服务器常量","是","0","银行帐号信息","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","空字符串并记录 ConfigMissing","NPC 对话显示与文本参数","脚本执行期间读取已发布运营配置快照"
"1","LFENV-SYMBOL-0028","附件原文","BANKACCOUNT8","","<$BANKACCOUNT8>","运营配置","String","公开运营配置","未实现（公开运营配置 Adapter 待 LFENV-08）","D","仅允许读取专门的公开运营配置；缺失时返回空字符串并记录 ConfigMissing。","敏感","用户附件:翎风服务器常量","是","0","银行帐号信息","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","空字符串并记录 ConfigMissing","NPC 对话显示与文本参数","脚本执行期间读取已发布运营配置快照"
"1","LFENV-SYMBOL-0029","附件原文","BANKACCOUNT9","","<$BANKACCOUNT9>","运营配置","String","公开运营配置","未实现（公开运营配置 Adapter 待 LFENV-08）","D","仅允许读取专门的公开运营配置；缺失时返回空字符串并记录 ConfigMissing。","敏感","用户附件:翎风服务器常量","是","0","银行帐号信息","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","空字符串并记录 ConfigMissing","NPC 对话显示与文本参数","脚本执行期间读取已发布运营配置快照"
"1","LFENV-SYMBOL-0030","附件原文","BBSSITE","","<$BBSSITE>","人物","String","玩家对象","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","论坛网址","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（按契约显示为空或 0，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","玩家脚本上下文有效期间"
"1","LFENV-SYMBOL-0031","附件原文","BELT","","<$BELT>","物品事件","String","玩家对象与物品事件上下文","LingFengP0ServerSymbols + ScriptTextRenderer","B","已通过 LFENV-05 P0 Adapter、统一 Renderer、真实 NPC/条件动作/系统触发/ScriptApi 入口与旧分支回归测试。","普通","用户附件:翎风服务器常量","是","0","腰带","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（显示为空，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","对应不可变物品事件 DTO 生命周期内"
"1","LFENV-SYMBOL-0032","附件原文","BOOTS","","<$BOOTS>","物品事件","String","玩家对象与物品事件上下文","LingFengP0ServerSymbols + ScriptTextRenderer","B","已通过 LFENV-05 P0 Adapter、统一 Renderer、真实 NPC/条件动作/系统触发/ScriptApi 入口与旧分支回归测试。","普通","用户附件:翎风服务器常量","是","0","鞋子","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（显示为空，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","对应不可变物品事件 DTO 生命周期内"
"1","LFENV-SYMBOL-0033","附件原文","BUILDGUILDFEE","","<$BUILDGUILDFEE>","行会攻城","String","玩家对象与行会/城堡上下文","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","创建行会费用","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（按契约显示为空或 0，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","玩家脚本上下文有效期间"
"1","LFENV-SYMBOL-0034","附件原文","BUJUK","AMULET","<$BUJUK>","人物","String","玩家对象","LingFengP0ServerSymbols + ScriptTextRenderer","B","已通过 LFENV-05 P0 Adapter、统一 Renderer、真实 NPC/条件动作/系统触发/ScriptApi 入口与旧分支回归测试。","普通","用户附件:翎风服务器常量","是","0","护身符","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（按契约显示为空或 0，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","玩家脚本上下文有效期间"
"1","LFENV-SYMBOL-0035","附件原文","BW","","<$BW>","人物","String","玩家对象","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","背包重量","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（按契约显示为空或 0，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","玩家脚本上下文有效期间"
"1","LFENV-SYMBOL-0036","附件原文","CASTLEGETDAYS","","<$CASTLEGETDAYS>","行会攻城","Integer","玩家对象与行会/城堡上下文","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","沙巴克占领天数,此变量需要沙巴克NPC中使用，比如沙皇宫管理人员","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（按契约显示为空或 0，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","玩家脚本上下文有效期间"
"1","LFENV-SYMBOL-0037","附件原文","CASTLENAME","","<$CASTLENAME>","行会攻城","String","玩家对象与行会/城堡上下文","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","沙巴克名称","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（按契约显示为空或 0，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","玩家脚本上下文有效期间"
"1","LFENV-SYMBOL-0038","附件原文","CASTLEWARDATE","","<$CASTLEWARDATE>","行会攻城","String","玩家对象与行会/城堡上下文","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","获取攻城时间","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（按契约显示为空或 0，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","玩家脚本上下文有效期间"
"1","LFENV-SYMBOL-0039","附件原文","CASTLEWARLASTDATE","","<$CASTLEWARLASTDATE>","行会攻城","String","玩家对象与行会/城堡上下文","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","上次攻城时间","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（按契约显示为空或 0，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","玩家脚本上下文有效期间"
"1","LFENV-SYMBOL-0040","附件原文","CHARM","STONE","<$CHARM>","物品事件","String","玩家对象与物品事件上下文","LingFengP0ServerSymbols + ScriptTextRenderer","B","已通过 LFENV-05 P0 Adapter、统一 Renderer、真实 NPC/条件动作/系统触发/ScriptApi 入口与旧分支回归测试。","普通","用户附件:翎风服务器常量","是","0","宝石","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（显示为空，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","对应不可变物品事件 DTO 生命周期内"
"1","LFENV-SYMBOL-0041","附件原文","CLIENTBUILDVER","","<$CLIENTBUILDVER>","服务器与时间","String","服务器环境上下文","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","登录器内核版本号","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（按契约显示为空或 0，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","脚本执行期间读取服务器只读快照"
"1","LFENV-SYMBOL-0042","附件原文","CLIENTDOWNLOAD","","<$CLIENTDOWNLOAD>","服务器与时间","String","服务器环境上下文","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","客户端程序下载地址","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（按契约显示为空或 0，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","脚本执行期间读取服务器只读快照"
"1","LFENV-SYMBOL-0043","附件原文","COMBATPOWER","","<$COMBATPOWER>","人物","String","玩家对象","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","人物战斗力","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（按契约显示为空或 0，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","玩家脚本上下文有效期间"
"1","LFENV-SYMBOL-0044","附件原文","CREDITPOINT","CREDIT","<$CREDITPOINT>","人物","Integer","玩家对象","LingFengP0ServerSymbols + ScriptTextRenderer","B","已通过 LFENV-05 P0 Adapter、统一 Renderer、真实 NPC/条件动作/系统触发/ScriptApi 入口与旧分支回归测试。","普通","用户附件:翎风服务器常量","是","0","声望点数","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（按契约显示为空或 0，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","玩家脚本上下文有效期间"
